created_at,date,time,username,name,place,tweet,language,mentions,urls,likes_count,retweet,hashtags,cashtags,retweets_count,link,thumbnail,near,retweet_id,reply_to,retweet_date,translate,retweet_date,translate
2020-01-27 00:59:59 Morocco Daylight Time,2020-01-27,00:59:59,minuki_naruhodo,Trucy ♢ Wright ♢ Bot,,"""Defending"" ... An unusual talent, but it'll do. With a little jazzing up, of course.",en,[],[],0,False,[],[],0,https://twitter.com/Minuki_Naruhodo/status/1221583595912888320,,,,[],,,,
2020-01-27 00:59:59 Morocco Daylight Time,2020-01-27,00:59:59,partyatyourdoor,ρꫀꪀꪀꪗ 🍬,,I excepted him to not care even more and just roll up with some black jeans or something.. So I’ll take it 😭,en,[],[],0,False,[],[],0,https://twitter.com/PARTYATYOURDOOR/status/1221583595086721024,,,,[],,,,
2020-01-27 00:59:59 Morocco Daylight Time,2020-01-27,00:59:59,maineventtv_aka,Extremis/Kamikaze | Lord Iron Hougun 🥋,,Let Lakers fans find out and they'll pull up on him.,en,[],[],5,False,[],[],3,https://twitter.com/MainEventTV_AKA/status/1221583594453377028,,,,[],,,,
2020-01-27 00:59:59 Morocco Daylight Time,2020-01-27,00:59:59,stng_ll_ray,きりは,,衣装本楽しみすぎる,ja,[],[],1,False,[],[],0,https://twitter.com/Stng_ll_ray/status/1221583594172215297,,,,[],,,,
2020-01-27 00:59:59 Morocco Daylight Time,2020-01-27,00:59:59,jeremykosiba,Jeremy🔥,,If you don’t make the Time to be Great you’ll never become it.  A walking Success.,en,[],[],0,False,[],[],0,https://twitter.com/jeremykosiba/status/1221583593316765696,,,,[],,,,
2020-01-27 00:59:59 Morocco Daylight Time,2020-01-27,00:59:59,kiqiyo,kiki ✦ mess but make it hot,,heres my batch of children from @memcchi's picrew! I'll be uploading cute drawings of them as practice sooner or later 😊  https://t.co/tisiN68qbT,en,"[{'screen_name': 'memcchi', 'name': 'mecchi', 'id': '1063580977136582657'}]",[],2,False,[],[],0,https://twitter.com/kiqiyo/status/1221583592549240833,https://pbs.twimg.com/media/EPPvxsEX4AAB3EJ.jpg,,,[],,,,
2020-01-27 00:59:58 Morocco Daylight Time,2020-01-27,00:59:58,minseoksj,zia,,Cue song: I’ll search the universe~  https://t.co/WMcb7TuNM0,en,[],[],6,False,[],[],1,https://twitter.com/minseoksj/status/1221583591999623169,https://pbs.twimg.com/media/EPPvy4FU8AAn3bJ.jpg,,,[],,,,
2020-01-27 00:59:58 Morocco Daylight Time,2020-01-27,00:59:58,gwskenzy,makenzy,,@dreamcloudari medicine 🥺 but i’ll be ok,en,[],[],1,False,[],[],0,https://twitter.com/gwskenzy/status/1221583591777427457,,,,"[{'screen_name': 'dreamcloudari', 'name': '☁ Ana ☁', 'id': '615386401'}]",,,,
2020-01-27 00:59:58 Morocco Daylight Time,2020-01-27,00:59:58,stephen71456929,Stephen Glenn,,@Danny_Funaro @amyklobuchar Theoretically she would be perfect running mate for Biden if being competent and “simpatico” most important traits. But I think it’ll end up being Harris if Biden feels he can trust her.,en,[],[],0,False,[],[],0,https://twitter.com/Stephen71456929/status/1221583591110578177,,,,"[{'screen_name': 'Danny_Funaro', 'name': 'Happy New Year Danny 🎊', 'id': '164150430'}, {'screen_name': 'amyklobuchar', 'name': 'Amy Klobuchar', 'id': '33537967'}]",,,,
2020-01-27 00:59:58 Morocco Daylight Time,2020-01-27,00:59:58,punishmenthurts,"""No Shit"" Sherlock 🍁",,"I don’t know from basketball or Kobe, but sure I’ll cry. Too easy. 😢",en,[],[],0,False,[],[],0,https://twitter.com/PunishmentHurts/status/1221583590820958210,,,,[],,,,
